Job Result,Job Creation Time,Job Completion Times,Product Name,Cores,Storage (GB)
FAILURE,10/1/2019 21:26,10/1/2019 21:33,Product 1 ,48,2400
SUCCESS,10/1/2019 16:33,10/1/2019 17:07,Product 2,16,960
SUCCESS,10/1/2019 15:48,10/1/2019 16:24,Product 2,16,1920
SUCCESS,9/27/2019 17:18,9/27/2019 17:52,Product 2,16,960
SUCCESS,9/25/2019 0:04,9/25/2019 0:32,Product 1 ,48,2400
SUCCESS,9/24/2019 21:19,9/24/2019 21:49,Product 1 ,48,9600
FAILURE,9/24/2019 21:13,9/24/2019 21:17,Product 1 ,48,9600
FAILURE,9/24/2019 15:52,9/24/2019 17:08,Product 1 ,48,2400
SUCCESS,9/24/2019 15:27,9/24/2019 15:36,Product 2,16,960
FAILURE,9/24/2019 15:24,9/24/2019 15:26,Product 1 ,48,2400
CANCELLED,9/24/2019 14:46,9/24/2019 14:57,Product 2,16,960
SUCCESS,9/23/2019 19:49,9/23/2019 20:30,Product 5,14,960
FAILURE,9/23/2019 13:31,9/23/2019 13:34,Product 1 ,48,2400
SUCCESS,9/20/2019 11:25,9/20/2019 12:33,Product 3,6,40
SUCCESS,9/20/2019 9:27,9/20/2019 10:36,Product 3,6,40
SUCCESS,9/19/2019 17:13,9/19/2019 17:53,Product 5,14,960
SUCCESS,9/19/2019 16:46,9/19/2019 17:29,Product 4,48,2400
FAILURE,9/19/2019 16:27,9/19/2019 16:27,Product 4,48,2400
SUCCESS,9/19/2019 1:49,9/19/2019 2:22,Product 1 ,48,12000
SUCCESS,9/18/2019 14:41,9/18/2019 15:20,Product 2,16,960
SUCCESS,9/17/2019 13:20,9/17/2019 14:18,Product 4,48,2400
SUCCESS,9/13/2019 20:20,9/13/2019 21:12,Product 4,48,2400
SUCCESS,9/13/2019 15:57,9/13/2019 16:08,Product 3,6,40
SUCCESS,9/13/2019 14:47,9/13/2019 15:58,Product 3,6,40
FAILURE,9/13/2019 14:46,9/13/2019 15:50,Product 3,6,40
SUCCESS,9/13/2019 14:45,9/13/2019 15:54,Product 3,6,40
FAILURE,9/13/2019 9:37,9/13/2019 9:40,Product 3,6,40
FAILURE,9/13/2019 9:35,9/13/2019 9:37,Product 3,6,40
FAILURE,9/13/2019 9:33,9/13/2019 9:35,Product 3,6,40
FAILURE,9/12/2019 20:38,9/12/2019 21:34,Product 2,16,960
SUCCESS,9/12/2019 18:40,9/12/2019 19:18,Product 1 ,48,2400
SUCCESS,9/12/2019 17:09,9/12/2019 18:16,Product 3,6,40
SUCCESS,9/12/2019 17:07,9/12/2019 18:18,Product 3,6,40
SUCCESS,9/12/2019 17:00,9/12/2019 18:09,Product 3,6,40
FAILURE,9/12/2019 16:52,9/12/2019 16:55,Product 3,6,40
SUCCESS,9/12/2019 16:00,9/12/2019 17:07,Product 3,6,40
SUCCESS,9/12/2019 15:46,9/12/2019 16:51,Product 3,6,40
FAILURE,9/12/2019 15:41,9/12/2019 15:43,Product 3,6,40
FAILURE,9/12/2019 14:21,9/12/2019 14:25,Product 3,6,40
FAILURE,9/12/2019 14:17,9/12/2019 14:19,Product 3,6,40
FAILURE,9/12/2019 12:27,9/12/2019 12:29,Product 3,6,40
FAILURE,9/12/2019 12:27,9/12/2019 12:29,Product 3,6,40
FAILURE,9/12/2019 9:13,9/12/2019 9:16,Product 3,6,40
FAILURE,9/12/2019 9:13,9/12/2019 9:15,Product 3,6,40
FAILURE,9/12/2019 9:11,9/12/2019 9:14,Product 3,6,40
FAILURE,9/12/2019 9:09,9/12/2019 9:11,Product 3,6,40
SUCCESS,9/12/2019 4:38,9/12/2019 4:51,Product 2,16,1920
FAILURE,9/12/2019 4:28,9/12/2019 4:32,Product 2,16,1920
FAILURE,9/12/2019 4:12,9/12/2019 4:16,Product 2,16,1920
FAILURE,9/12/2019 2:52,9/12/2019 3:25,Product 2,16,1920
FAILURE,9/12/2019 2:45,9/12/2019 2:48,Product 2,16,1920
FAILURE,9/12/2019 2:39,9/12/2019 2:43,Product 2,16,1920
SUCCESS,9/11/2019 16:11,9/11/2019 16:41,Product 1,48,2400
FAILURE,9/11/2019 16:00,9/11/2019 16:03,Product 1,48,2400
SUCCESS,9/10/2019 18:18,9/10/2019 18:31,Product 3,6,40
FAILURE,9/10/2019 17:14,9/10/2019 18:12,Product 3,6,40
FAILURE,9/10/2019 15:27,9/10/2019 15:39,Product 3,6,40
SUCCESS,9/10/2019 14:08,9/10/2019 14:52,Product 5,14,960
FAILURE,9/10/2019 12:25,9/10/2019 12:27,Product 3,6,40
SUCCESS,9/9/2019 20:18,9/9/2019 20:28,Product 3,6,40
SUCCESS,9/9/2019 19:05,9/9/2019 20:16,Product 3,6,40
FAILURE,9/9/2019 19:05,9/9/2019 20:09,Product 3,6,40
SUCCESS,9/9/2019 19:05,9/9/2019 20:14,Product 3,6,40
SUCCESS,9/9/2019 19:05,9/9/2019 20:13,Product 3,6,40
FAILURE,9/9/2019 18:58,9/9/2019 19:03,Product 3,6,40
FAILURE,9/9/2019 18:57,9/9/2019 19:04,Product 3,6,40
FAILURE,9/9/2019 18:57,9/9/2019 19:02,Product 3,6,40
FAILURE,9/9/2019 18:56,9/9/2019 19:03,Product 3,6,40
FAILURE,9/9/2019 18:45,9/9/2019 18:48,Product 3,6,40
FAILURE,9/9/2019 18:44,9/9/2019 18:46,Product 3,6,40
FAILURE,9/9/2019 18:43,9/9/2019 18:46,Product 3,6,40
FAILURE,9/9/2019 18:42,9/9/2019 18:45,Product 3,6,40
FAILURE,9/9/2019 12:13,9/9/2019 12:16,Product 3,6,40
FAILURE,9/9/2019 10:49,9/9/2019 10:52,Product 3,6,40
FAILURE,9/9/2019 10:07,9/9/2019 10:11,Product 3,6,40
FAILURE,9/9/2019 7:53,9/9/2019 7:57,Product 3,6,40
FAILURE,9/9/2019 6:05,9/9/2019 6:09,Product 3,6,40
FAILURE,9/8/2019 20:25,9/8/2019 20:29,Product 3,6,40
FAILURE,9/8/2019 6:53,9/8/2019 6:56,Product 3,6,40
FAILURE,9/8/2019 0:31,9/9/2019 11:03,Product 3,6,40
FAILURE,9/8/2019 0:27,9/8/2019 0:31,Product 3,6,40
FAILURE,9/7/2019 19:22,9/7/2019 19:25,Product 3,6,40
FAILURE,9/7/2019 18:52,9/7/2019 18:54,Product 3,6,40
FAILURE,9/7/2019 17:41,9/7/2019 17:45,Product 3,6,40
FAILURE,9/7/2019 15:51,9/7/2019 15:55,Product 3,6,40
FAILURE,9/6/2019 22:33,9/6/2019 22:37,Product 3,6,40
FAILURE,9/6/2019 21:23,9/6/2019 21:27,Product 3,6,40
SUCCESS,9/5/2019 21:38,9/5/2019 21:55,Product 1 ,48,2400
FAILURE,9/5/2019 20:14,9/5/2019 20:20,Product 1 ,48,2400
CANCELLED,9/5/2019 20:12,9/5/2019 20:13,Product 1 ,48,2400
FAILURE,9/5/2019 18:04,9/5/2019 18:28,Product 1 ,48,2400
FAILURE,9/5/2019 17:52,9/5/2019 17:54,Product 1 ,48,2400
FAILURE,9/5/2019 16:45,9/5/2019 16:48,Product 1 ,48,2400
FAILURE,9/5/2019 16:36,9/5/2019 16:39,Product 1 ,48,2400
FAILURE,9/5/2019 7:57,9/5/2019 8:16,Product 3,6,40
SUCCESS,9/2/2019 2:38,9/2/2019 3:47,Product 4,144,19200
FAILURE,8/30/2019 18:55,8/30/2019 18:58,Product 1 ,144,19200
FAILURE,8/30/2019 18:41,8/30/2019 18:46,Product 1 ,144,19200
FAILURE,8/29/2019 21:23,8/29/2019 21:27,Product 1 ,48,2400
SUCCESS,8/28/2019 22:11,8/28/2019 23:17,Product 3,6,40
SUCCESS,8/28/2019 19:05,8/28/2019 19:52,Product 5,14,960
CANCELLED,8/26/2019 20:03,8/26/2019 20:03,Product 3,6,40
SUCCESS,8/23/2019 19:03,8/23/2019 20:14,Product 3,6,40
SUCCESS,8/23/2019 19:03,8/23/2019 20:15,Product 3,6,40
FAILURE,8/22/2019 3:57,8/22/2019 4:54,Product 2,16,960
SUCCESS,8/21/2019 12:53,8/21/2019 13:41,Product 5,14,960
SUCCESS,8/21/2019 2:42,8/21/2019 3:17,Product 1 ,48,2400
CANCELLED,8/20/2019 21:59,8/20/2019 21:59,Product 3,6,40
SUCCESS,8/19/2019 14:36,8/19/2019 15:20,Product 2,16,960
SUCCESS,8/16/2019 17:32,8/16/2019 18:24,Product 4,48,4800
SUCCESS,8/14/2019 16:18,8/14/2019 16:56,Product 1 ,48,2400
SUCCESS,8/13/2019 16:25,8/13/2019 17:09,Product 5,14,960
SUCCESS,8/11/2019 6:07,8/11/2019 6:51,Product 5,14,960
SUCCESS,8/9/2019 14:47,8/9/2019 15:38,Product 5,14,960
SUCCESS,8/8/2019 9:05,8/8/2019 10:13,Product 3,6,40
SUCCESS,8/7/2019 23:26,8/8/2019 0:11,Product 2,32,7200
SUCCESS,8/7/2019 16:15,8/7/2019 17:27,Product 3,6,40
SUCCESS,8/7/2019 16:05,8/7/2019 17:16,Product 3,6,40
CANCELLED,8/7/2019 15:56,8/7/2019 15:57,Product 3,6,40
SUCCESS,8/6/2019 16:46,8/6/2019 17:36,Product 2,16,960
SUCCESS,8/6/2019 16:38,8/6/2019 17:50,Product 3,6,40
CANCELLED,8/6/2019 16:37,8/6/2019 16:38,Product 3,6,40
SUCCESS,8/5/2019 18:21,8/5/2019 19:28,Product 3,6,40
SUCCESS,8/5/2019 14:27,8/5/2019 15:13,Product 5,14,960
SUCCESS,8/3/2019 21:20,8/3/2019 22:08,Product 5,14,960
SUCCESS,8/2/2019 14:53,8/2/2019 15:06,Product 3,6,40
FAILURE,8/2/2019 13:46,8/2/2019 14:52,Product 3,6,40
FAILURE,8/1/2019 20:29,8/1/2019 20:39,Product 3,6,40
FAILURE,8/1/2019 20:23,8/1/2019 20:27,Product 3,6,40
FAILURE,8/1/2019 20:19,8/1/2019 20:20,Product 3,6,40
SUCCESS,8/1/2019 19:57,8/1/2019 20:06,Product 3,6,40
SUCCESS,8/1/2019 17:51,8/1/2019 19:03,Product 3,6,40
SUCCESS,8/1/2019 17:41,8/1/2019 18:53,Product 3,6,40
SUCCESS,8/1/2019 17:13,8/1/2019 18:29,Product 3,6,40
SUCCESS,8/1/2019 17:13,8/1/2019 18:28,Product 3,6,40
